,FECHA,N1,N2,N3,N4,N5,Star1,Star2
2,8/11/2019,08,17,20,23,45,02,08
3,5/11/2019,09,14,25,33,48,02,12
4,1/11/2019,02,20,39,44,48,05,07
5,29/10/2019,16,18,28,42,49,05,10
6,25/10/2019,34,37,39,40,50,04,10
7,22/10/2019,02,05,32,33,47,07,08
8,18/10/2019,08,18,22,41,42,11,12
9,15/10/2019,03,28,31,32,34,04,05
10,11/10/2019,02,14,19,42,45,05,06
11,8/10/2019,07,10,15,44,49,03,12
12,4/10/2019,06,09,35,41,44,06,09
13,1/10/2019,02,11,18,40,46,01,04
14,27/09/2019,24,37,41,43,46,02,08
15,24/09/2019,02,33,42,47,48,01,02
16,20/09/2019,08,21,25,38,50,04,08
17,17/09/2019,22,37,43,44,45,01,12
18,13/09/2019,01,12,27,42,47,06,07
19,10/09/2019,03,22,25,30,49,03,06
20,6/09/2019,10,13,22,40,48,02,05
21,3/09/2019,07,11,38,39,44,07,10
22,30/08/2019,25,27,45,46,49,04,06
23,27/08/2019,08,26,35,43,47,01,09
24,23/08/2019,04,17,35,42,45,02,08
25,20/08/2019,20,22,23,24,37,01,04
26,16/08/2019,09,10,27,37,42,01,05
27,13/08/2019,13,29,31,33,40,02,03
28,9/08/2019,02,14,35,41,42,10,11
29,6/08/2019,12,13,29,36,38,04,12
30,2/08/2019,13,22,33,44,50,02,05
31,30/07/2019,15,20,23,27,40,03,06
32,26/07/2019,02,05,27,37,42,03,10
33,23/07/2019,01,14,19,23,38,03,07
34,19/07/2019,13,14,17,26,28,02,07
35,16/07/2019,03,05,13,18,39,07,08
36,12/07/2019,02,31,39,45,47,04,08
37,9/07/2019,07,29,32,36,41,06,07
38,5/07/2019,02,09,20,34,42,06,09
39,2/07/2019,11,19,29,44,45,08,12
40,28/06/2019,01,03,16,33,49,02,11
41,25/06/2019,06,26,27,34,46,01,09
42,21/06/2019,05,08,09,25,39,03,07
43,18/06/2019,12,24,37,40,44,03,07
44,14/06/2019,01,13,30,31,39,02,07
45,11/06/2019,25,27,39,42,46,11,12
46,7/06/2019,01,04,16,20,34,02,05
47,4/06/2019,09,31,32,39,41,02,08
48,31/05/2019,01,23,24,26,35,01,11
49,28/05/2019,07,19,20,28,29,01,05
50,24/05/2019,05,16,23,30,49,06,07
51,21/05/2019,32,33,34,39,47,08,12
52,17/05/2019,16,28,42,43,45,06,07
53,14/05/2019,10,14,17,25,50,02,10
54,10/05/2019,01,04,27,45,48,01,07
55,7/05/2019,07,20,26,32,47,02,11
56,3/05/2019,02,09,20,27,43,05,06
57,30/04/2019,05,12,20,26,48,02,11
58,26/04/2019,14,33,35,47,50,09,11
59,23/04/2019,18,23,27,42,44,02,07
60,19/04/2019,07,08,32,41,49,05,11
61,16/04/2019,01,08,15,44,49,02,11
62,12/04/2019,01,28,35,36,46,06,09
63,9/04/2019,18,21,29,38,41,01,11
